2021-02-10 | 10:35:18.736 | background-preinit   |  INFO | o.h.v.i.util.Version      | ID:          | HV000001: Hibernate Validator 6.0.20.Final
2021-02-10 | 10:35:18.765 | Test worker          |  INFO | c.s.s.ApplicationTests    | ID:          | Starting ApplicationTests on yeongsamnoui-MacBookPro.local with PID 1491 (started by YT in /Users/YT/Desktop/project/momelet/backend/spring)
2021-02-10 | 10:35:18.766 | Test worker          |  INFO | c.s.s.ApplicationTests    | ID:          | The following profiles are active: jwt,oauth,aws
2021-02-10 | 10:35:20.034 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-02-10 | 10:35:20.172 | Test worker          |  INFO | toryConfigurationDelegate | ID:          | Finished Spring Data repository scanning in 127ms. Found 11 JPA repository interfaces.
2021-02-10 | 10:35:20.618 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@17c06661' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-10 | 10:35:20.640 | Test worker          |  INFO | $BeanPostProcessorChecker | ID:          | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-02-10 | 10:35:20.870 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Starting...
2021-02-10 | 10:35:21.450 | Test worker          |  INFO | c.z.h.HikariDataSource    | ID:          | HikariPool-1 - Start completed.
2021-02-10 | 10:35:21.526 | Test worker          |  INFO | o.h.j.i.util.LogHelper    | ID:          | HHH000204: Processing PersistenceUnitInfo [name: default]
2021-02-10 | 10:35:21.607 | Test worker          |  INFO | org.hibernate.Version     | ID:          | HHH000412: Hibernate ORM core version 5.4.21.Final
2021-02-10 | 10:35:21.811 | Test worker          |  INFO | o.h.a.common.Version      | ID:          | HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-02-10 | 10:35:21.961 | Test worker          |  INFO | o.h.dialect.Dialect       | ID:          | HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-02-10 | 10:35:22.953 | Test worker          |  INFO | .p.i.JtaPlatformInitiator | ID:          | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-02-10 | 10:35:22.962 | Test worker          |  INFO | rEntityManagerFactoryBean | ID:          | Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-02-10 | 10:35:23.103 | Test worker          |  WARN | ation$JpaWebConfiguration | ID:          | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-02-10 | 10:35:25.381 | Test worker          |  INFO | e.w.EndpointLinksResolver | ID:          | Exposing 2 endpoint(s) beneath base path '/actuator'
